====================================================================================================
REASONING BY CONFIDENCE BIN — per (model, dataset) × disjoint 10% bins within top-50% pool
Rows: 270  |  Columns: ['model', 'dataset', 'bin_label', 'bin_start_pct', 'bin_end_pct', 'total_traces_in_bin', 'sampled_traces', 'random_seed', 'mean_reasoning_score', 'std_reasoning_score', 'stderr_reasoning_score', 'ci_lower', 'ci_upper', 'bootstrap_ci_lower', 'bootstrap_ci_upper', 'mean_accuracy_population']
====================================================================================================
       model       dataset bin_label  bin_start_pct  bin_end_pct  total_traces_in_bin  sampled_traces  random_seed  mean_reasoning_score  std_reasoning_score  stderr_reasoning_score  ci_lower  ci_upper  bootstrap_ci_lower  bootstrap_ci_upper  mean_accuracy_population
LLaMA-3.1-8B         GSM8K     30-40             30           40                 2110              50   1712536751                0.8475             0.260971               0.0369069  0.773333  0.921667                0.77               0.915                  0.827488
LLaMA-3.1-8B         GSM8K     40-50             40           50                 2110              50    172079070                0.7375             0.295858               0.0418406  0.653418  0.821582               0.655             0.81875                  0.816588
LLaMA-3.1-8B       MATH500      0-10              0           10                  800              50    209872245               0.60625             0.310131               0.0438592  0.518112  0.694388            0.526219             0.69625                     0.545
LLaMA-3.1-8B       MATH500     10-20             10           20                  800              50   1774334788               0.48375              0.23413               0.0331109  0.417211  0.550289              0.4225            0.550031                   0.33875
LLaMA-3.1-8B       MATH500     20-30             20           30                  800              50   1572903321                0.4125              0.22517               0.0318438  0.348507  0.476493              0.3525               0.475                     0.295
LLaMA-3.1-8B       MATH500     30-40             30           40                  800              50    713590957               0.44125             0.240047               0.0339478  0.373029  0.509471             0.37875              0.5075                     0.285
LLaMA-3.1-8B       MATH500     40-50             40           50                  800              50    389156051                0.5325              0.27872                0.039417  0.453289  0.611711             0.45625            0.610031                    0.3225
LLaMA-3.1-8B         SVAMP      0-10              0           10                 1600              50    223366149                   0.8             0.230765               0.0326351  0.734417  0.865583             0.73375            0.858781                  0.861875
LLaMA-3.1-8B         SVAMP     10-20             10           20                 1600              50     66998106               0.63125             0.330297                0.046711  0.537381  0.725119            0.539938             0.71875                  0.715625
LLaMA-3.1-8B         SVAMP     20-30             20           30                 1600              50    568496547               0.82125             0.287386               0.0406426  0.739576  0.902924              0.7375            0.898781                   0.81625
LLaMA-3.1-8B         SVAMP     30-40             30           40                 1600              50   1376865790                0.7925             0.298123                0.042161  0.707774  0.877226             0.70875             0.87375                   0.84375
LLaMA-3.1-8B         SVAMP     40-50             40           50                 1600              50   2141050452                  0.83             0.280942               0.0397312  0.750157  0.909843             0.74625             0.90375                  0.845625
       Phi-4          AQuA      0-10              0           10                  407              50     78614787                 0.785             0.248131                0.035091  0.714482  0.855518            0.714969            0.850031                   0.53317
       Phi-4          AQuA     10-20             10           20                  406              50    191504850               0.75875             0.247117               0.0349476   0.68852   0.82898            0.688719             0.82625                   0.53202
       Phi-4          AQuA     20-30             20           30                  407              50   1993576027                0.7425             0.268938               0.0380336  0.666069  0.818931             0.66875            0.816281                  0.520885
       Phi-4          AQuA     30-40             30           40                  406              50   1157851650               0.76375             0.232242                0.032844  0.697747  0.829753             0.69625              0.8275                  0.519704
       Phi-4          AQuA     40-50             40           50                  406              50   1464171519               0.75125             0.242716               0.0343252  0.682271  0.820229             0.68375            0.818781                  0.536946
       Phi-4 CommonsenseQA      0-10              0           10                 1954              50    847950179                0.7725             0.276284               0.0390725  0.693981  0.851019              0.6925              0.8425                  0.657625
       Phi-4 CommonsenseQA     10-20             10           20                 1954              50   1865869340               0.61875              0.32933               0.0465743  0.525155  0.712345             0.52625              0.7075                  0.502559
       Phi-4 CommonsenseQA     20-30             20           30                 1953              50    791330004                0.6675              0.30158               0.0426498  0.581792  0.753208             0.58625               0.745                  0.481311
       Phi-4 CommonsenseQA     30-40             30           40                 1954              50    475833821               0.70875             0.310481               0.0439086  0.620512  0.796988            0.618688              0.7925                  0.520983
       Phi-4 CommonsenseQA     40-50             40           50                 1953              50   2063943207               0.70625              0.33746                0.047724  0.610345  0.802155            0.617469             0.79875                  0.585253
       Phi-4          GPQA      0-10              0           10                  717              50   1932838373               0.48375             0.244131               0.0345253  0.414369  0.553131               0.415             0.55375                  0.174338
       Phi-4          GPQA     10-20             10           20                  717              50    361333389                0.4675             0.214747               0.0303697   0.40647   0.52853             0.41125            0.527531                  0.156206
       Phi-4          GPQA     20-30             20           30                  717              50   1048713266                0.4725             0.220216               0.0311432  0.409915  0.535085              0.4125             0.53375                  0.188285
       Phi-4          GPQA     30-40             30           40                  717              50     33617371               0.54875             0.258556               0.0365653  0.475269  0.622231             0.47625             0.62125                   0.23152
       Phi-4          GPQA     40-50             40           50                  716              50   1003138359               0.54125             0.239449               0.0338632  0.473199  0.609301             0.47875             0.60875                  0.238827
       Phi-4         GSM8K      0-10              0           10                 2111              50   1997281058                 0.915             0.195517               0.0276503  0.859435  0.970565                0.86             0.96625                   0.62577
       Phi-4         GSM8K     10-20             10           20                 2110              50    155128998                0.8325             0.224262               0.0317154  0.768765  0.896235            0.768719               0.895                   0.62891
       Phi-4         GSM8K     20-30             20           30                 2111              50    467307449                 0.855             0.226385               0.0320156  0.790662  0.919338            0.792469               0.915                  0.635718
       Phi-4         GSM8K     30-40             30           40                 2110              50    903907179               0.89375             0.209869               0.0296799  0.834106  0.953394             0.83125              0.9475                  0.565877
       Phi-4         GSM8K     40-50             40           50                 2110              50    626604438                0.9125             0.194389               0.0274907  0.857255  0.967745              0.8575              0.9625                   0.61564
       Phi-4       MATH500      0-10              0           10                  800              50    960584707               0.74375             0.306511               0.0433473   0.65664   0.83086            0.654969              0.8275                    0.6075
       Phi-4       MATH500     10-20             10           20                  800              50    628935952                  0.78               0.2545               0.0359918  0.707672  0.852328            0.706219             0.85125                   0.56375
       Phi-4       MATH500     20-30             20           30                  800              50    921871646                  0.73             0.271534               0.0384007  0.652831  0.807169              0.6525             0.80375                   0.52625
       Phi-4       MATH500     30-40             30           40                  800              50   1973268049                0.7125             0.274036               0.0387545   0.63462   0.79038               0.635             0.78875                      0.54
       Phi-4       MATH500     40-50             40           50                  800              50   1734016578                 0.785             0.254162               0.0359439  0.712768  0.857232             0.71125               0.855                   0.55125
