benchmark,model_a,model_b,regime_a,regime_b,acc_gap_pp,acc_gap_raw,frs_gap,bon_gap,frs_gt_acc_pp,sign_frs,sign_acc,sign_bon,frs1,frs2,acc1,acc2,bon1,bon2
gpqa,Gemma-7B,LLaMA-3.1-8B,inverted,reliable,24.9196694234447,0.24919669423444699,20.69789585414586,16.391510340045933,False,-1.0,-1.0,-1.0,29.22619047619047,49.92408633033633,0.1605535080167789,0.4097502022512259,35.15509311411557,51.546603454161506
gpqa,Gemma-7B,Phi-4,inverted,flat,9.12685167131391,0.0912685167131391,22.65004786879788,15.7084869659664,True,-1.0,-1.0,-1.0,29.22619047619047,51.87623834498835,0.1605535080167789,0.251822024729918,35.15509311411557,50.863580080081974
gpqa,Gemma-7B,Phi-4-Reas.,inverted,inverted,41.05217574266899,0.41052175742668995,16.131953983516492,28.431009481238426,False,-1.0,-1.0,-1.0,29.22619047619047,45.35814445970696,0.1605535080167789,0.5710752654434689,35.15509311411557,63.586102595354
gpqa,Gemma-7B,Qwen2.5-7B,inverted,flat,18.045188186618912,0.18045188186618913,27.17605311355312,16.59340033607232,True,-1.0,-1.0,-1.0,29.22619047619047,56.40224358974359,0.1605535080167789,0.341005389882968,35.15509311411557,51.748493450187894
gpqa,Gemma-7B,Qwen2.5-Math,inverted,inverted,16.389906670256078,0.1638990667025608,21.707875457875463,18.552210676165316,True,-1.0,-1.0,-1.0,29.22619047619047,50.934065934065934,0.1605535080167789,0.3244525747193397,35.15509311411557,53.70730379028089
gpqa,Gemma-7B,Qwen3-4B,inverted,reliable,40.56153673595196,0.40561536735951964,31.02964743589745,19.569736517991792,False,-1.0,-1.0,-1.0,29.22619047619047,60.25583791208792,0.1605535080167789,0.5661688753762986,35.15509311411557,54.724829632107365
gpqa,LLaMA-3.1-8B,Phi-4,reliable,flat,15.792817752130789,0.1579281775213079,1.9521520146520217,0.6830233740795322,False,-1.0,1.0,1.0,49.92408633033633,51.87623834498835,0.4097502022512259,0.251822024729918,51.546603454161506,50.863580080081974
gpqa,LLaMA-3.1-8B,Phi-4-Reas.,reliable,inverted,16.132506319224298,0.161325063192243,4.565941870629366,12.039499141192493,False,1.0,-1.0,-1.0,49.92408633033633,45.35814445970696,0.4097502022512259,0.5710752654434689,51.546603454161506,63.586102595354
gpqa,LLaMA-3.1-8B,Qwen2.5-7B,reliable,flat,6.874481236825786,0.06874481236825786,6.478157259407261,0.20188999602638802,False,-1.0,1.0,-1.0,49.92408633033633,56.40224358974359,0.4097502022512259,0.341005389882968,51.546603454161506,51.748493450187894
gpqa,LLaMA-3.1-8B,Qwen2.5-Math,reliable,inverted,8.529762753188619,0.08529762753188619,1.0099796037296045,2.1607003361193833,False,-1.0,1.0,-1.0,49.92408633033633,50.934065934065934,0.4097502022512259,0.3244525747193397,51.546603454161506,53.70730379028089
