benchmark,model_a,model_b,pass1_a,pass1_b,frs_a,frs_b,signed_pass1_gap,signed_frs_gap,abs_pass1_gap,abs_frs_gap
GSM8K,DS-R1-7B,Qwen2.5-7B,91.5,90.9,98.9,65.6,0.5999999999999943,33.30000000000001,0.5999999999999943,33.30000000000001
GSM8K,DS-R1-7B,Qwen2.5-Math,91.5,84.55,98.9,90.8,6.950000000000003,8.100000000000009,6.950000000000003,8.100000000000009
GSM8K,DS-R1-7B,Qwen3-4B,91.5,72.2,98.9,90.9,19.299999999999997,8.0,19.299999999999997,8.0
GSM8K,Gemma-7B,LLaMA-3.1-8B,36.9,81.3,41.2,79.9,-44.4,-38.7,44.4,38.7
GSM8K,Gemma-7B,Phi-4,36.9,93.0,41.2,91.5,-56.1,-50.3,56.1,50.3
GSM8K,Gemma-7B,Phi-4-Reas.,36.9,95.4,41.2,84.5,-58.50000000000001,-43.3,58.50000000000001,43.3
GSM8K,Gemma-7B,Qwen2.5-7B,36.9,90.9,41.2,65.6,-54.00000000000001,-24.39999999999999,54.00000000000001,24.39999999999999
GSM8K,Gemma-7B,Qwen2.5-Math,36.9,84.55,41.2,90.8,-47.65,-49.599999999999994,47.65,49.599999999999994
GSM8K,Gemma-7B,Qwen3-4B,36.9,72.2,41.2,90.9,-35.300000000000004,-49.7,35.300000000000004,49.7
GSM8K,LLaMA-3.1-8B,Phi-4,81.3,93.0,79.9,91.5,-11.700000000000003,-11.599999999999994,11.700000000000003,11.599999999999994
GSM8K,LLaMA-3.1-8B,Phi-4-Reas.,81.3,95.4,79.9,84.5,-14.100000000000009,-4.599999999999994,14.100000000000009,4.599999999999994
GSM8K,LLaMA-3.1-8B,Qwen2.5-7B,81.3,90.9,79.9,65.6,-9.600000000000009,14.300000000000011,9.600000000000009,14.300000000000011
GSM8K,LLaMA-3.1-8B,Qwen2.5-Math,81.3,84.55,79.9,90.8,-3.25,-10.899999999999991,3.25,10.899999999999991
GSM8K,LLaMA-3.1-8B,Qwen3-4B,81.3,72.2,79.9,90.9,9.099999999999994,-11.0,9.099999999999994,11.0
GSM8K,Phi-4,Phi-4-Reas.,93.0,95.4,91.5,84.5,-2.4000000000000057,7.0,2.4000000000000057,7.0
GSM8K,Phi-4,Qwen2.5-7B,93.0,90.9,91.5,65.6,2.0999999999999943,25.900000000000006,2.0999999999999943,25.900000000000006
GSM8K,Phi-4,Qwen2.5-Math,93.0,84.55,91.5,90.8,8.450000000000003,0.7000000000000028,8.450000000000003,0.7000000000000028
GSM8K,Phi-4,Qwen3-4B,93.0,72.2,91.5,90.9,20.799999999999997,0.5999999999999943,20.799999999999997,0.5999999999999943
GSM8K,Phi-4-Reas.,Qwen2.5-7B,95.4,90.9,84.5,65.6,4.5,18.900000000000006,4.5,18.900000000000006
GSM8K,Phi-4-Reas.,Qwen2.5-Math,95.4,84.55,84.5,90.8,10.850000000000009,-6.299999999999997,10.850000000000009,6.299999999999997
GSM8K,Phi-4-Reas.,Qwen3-4B,95.4,72.2,84.5,90.9,23.200000000000003,-6.400000000000006,23.200000000000003,6.400000000000006
GSM8K,Qwen2.5-7B,Qwen2.5-Math,90.9,84.55,65.6,90.8,6.3500000000000085,-25.200000000000003,6.3500000000000085,25.200000000000003
GSM8K,Qwen2.5-7B,Qwen3-4B,90.9,72.2,65.6,90.9,18.700000000000003,-25.30000000000001,18.700000000000003,25.30000000000001
GSM8K,Qwen2.5-Math,Qwen3-4B,84.55,72.2,90.8,90.9,12.349999999999994,-0.10000000000000853,12.349999999999994,0.10000000000000853
MATH500,DS-R1-1.5B,DS-R1-7B,43.2,63.6,84.5,94.0,-20.4,-9.5,20.4,9.5
