benchmark,tie_metric,tolerance_pp,model_a,model_b,predictor,correct_direction,abs_tie_gap
GSM8K,pass16_pct,3.0,Qwen3-4B,Phi-4-Reas.,pass16_pct,True,1.5163002274450434
GSM8K,pass16_pct,3.0,Qwen3-4B,Phi-4-Reas.,high_conf_accuracy_pct,True,1.5163002274450434
GSM8K,pass16_pct,5.0,Qwen3-4B,Phi-4-Reas.,frs_pct,False,1.5163002274450434
GSM8K,pass16_pct,5.0,Qwen3-4B,Phi-4-Reas.,pass1_pct,True,1.5163002274450434
GSM8K,pass16_pct,5.0,Qwen3-4B,Phi-4-Reas.,pass16_pct,True,1.5163002274450434
GSM8K,pass16_pct,5.0,Qwen3-4B,Phi-4-Reas.,high_conf_accuracy_pct,True,1.5163002274450434
GSM8K,pass16_pct,1.0,Qwen3-4B,Qwen2.5-7B,frs_pct,True,0.8339651250947782
GSM8K,pass16_pct,1.0,Qwen3-4B,Qwen2.5-7B,pass1_pct,False,0.8339651250947782
GSM8K,pass16_pct,1.0,Qwen3-4B,Qwen2.5-7B,pass16_pct,False,0.8339651250947782
GSM8K,pass16_pct,1.0,Qwen3-4B,Qwen2.5-7B,high_conf_accuracy_pct,True,0.8339651250947782
GSM8K,pass16_pct,2.0,Qwen3-4B,Qwen2.5-7B,frs_pct,True,0.8339651250947782
GSM8K,pass16_pct,2.0,Qwen3-4B,Qwen2.5-7B,pass1_pct,False,0.8339651250947782
GSM8K,pass16_pct,2.0,Qwen3-4B,Qwen2.5-7B,pass16_pct,False,0.8339651250947782
GSM8K,pass16_pct,2.0,Qwen3-4B,Qwen2.5-7B,high_conf_accuracy_pct,True,0.8339651250947782
GSM8K,pass16_pct,3.0,Qwen3-4B,Qwen2.5-7B,frs_pct,True,0.8339651250947782
GSM8K,pass16_pct,3.0,Qwen3-4B,Qwen2.5-7B,pass1_pct,False,0.8339651250947782
GSM8K,pass16_pct,3.0,Qwen3-4B,Qwen2.5-7B,pass16_pct,False,0.8339651250947782
GSM8K,pass16_pct,3.0,Qwen3-4B,Qwen2.5-7B,high_conf_accuracy_pct,True,0.8339651250947782
GSM8K,pass16_pct,5.0,Qwen3-4B,Qwen2.5-7B,frs_pct,True,0.8339651250947782
GSM8K,pass16_pct,5.0,Qwen3-4B,Qwen2.5-7B,pass1_pct,False,0.8339651250947782
GSM8K,pass16_pct,5.0,Qwen3-4B,Qwen2.5-7B,pass16_pct,False,0.8339651250947782
GSM8K,pass16_pct,5.0,Qwen3-4B,Qwen2.5-7B,high_conf_accuracy_pct,True,0.8339651250947782
