benchmark,model_a,model_b,pass1_a,pass1_b,frs_a,frs_b,pass1_gap_pp,frs_gap_pp,trace0_a,trace0_b,trace0_gap_pp,unfiltered_a,unfiltered_b,unfiltered_gap_pp,frs_gt_trace0,frs_gt_unfiltered
GSM8K,LLaMA-3.1-8B,Gemma-7B,81.3,36.9,79.9,41.2,44.4,38.7,73.375,49.5,23.875,82.5,51.31250000000001,31.187499999999993,True,True
MATH500,DS-R1-7B,DS-R1-1.5B,63.6,43.2,94.0,84.5,20.4,9.5,68.5,68.75,0.25,74.75,64.375,10.375,True,False
MATH500,DS-R1-7B,Qwen3-4B,63.6,49.8,94.0,63.5,13.800000000000004,30.5,68.5,70.5,2.0,74.75,70.4375,4.3125,True,True
MATH500,DS-R1-7B,Phi-4,63.6,60.8,94.0,74.4,2.8000000000000043,19.599999999999994,68.5,64.125,4.375,74.75,82.25,7.5,True,True
MATH500,DS-R1-7B,Qwen2.5-Math,63.6,63.6,94.0,77.5,0.0,16.5,68.5,78.5,10.0,74.75,79.5,4.75,True,True
MATH500,DS-R1-7B,Phi-4-Reas.,63.6,74.6,94.0,80.0,10.999999999999993,14.0,68.5,75.125,6.625,74.75,81.1875,6.4375,True,True
MATH500,DS-R1-7B,Qwen2.5-7B,63.6,60.6,94.0,75.6,3.0,18.400000000000006,68.5,65.25,3.25,74.75,68.125,6.625,True,True
MATH500,DS-R1-7B,LLaMA-3.1-8B,63.6,35.6,94.0,60.6,28.0,33.4,68.5,54.625,13.875,74.75,50.18749999999999,24.562500000000007,True,True
MATH500,DS-R1-7B,Gemma-7B,63.6,18.2,94.0,18.9,45.400000000000006,75.1,68.5,41.75,26.75,74.75,36.25,38.5,True,True
MATH500,DS-R1-1.5B,Qwen3-4B,43.2,49.8,84.5,63.5,6.599999999999994,21.0,68.75,70.5,1.75,64.375,70.4375,6.0625,True,True
MATH500,DS-R1-1.5B,Phi-4,43.2,60.8,84.5,74.4,17.599999999999994,10.099999999999994,68.75,64.125,4.625,64.375,82.25,17.875,True,False
MATH500,DS-R1-1.5B,Qwen2.5-Math,43.2,63.6,84.5,77.5,20.4,7.0,68.75,78.5,9.75,64.375,79.5,15.125,False,False
