model,benchmark,subset_dims,subset_label,subset_size,frs_pct,n_traces
Gemma-7B,GSM8K,faithfulness|utility|factuality,F+U+Fa,3,41.0,50
Gemma-7B,GSM8K,utility,U,1,39.5,50
Gemma-7B,GSM8K,utility|factuality,U+Fa,2,42.75,50
Gemma-7B,MATH500,coherence,C,1,18.5,50
Gemma-7B,MATH500,coherence|factuality,C+Fa,2,21.75,50
Gemma-7B,MATH500,coherence|utility,C+U,2,16.75,50
Gemma-7B,MATH500,coherence|utility|factuality,C+U+Fa,3,19.499999999999996,50
Gemma-7B,MATH500,factuality,Fa,1,25.0,50
Gemma-7B,MATH500,faithfulness,F,1,17.0,50
Gemma-7B,MATH500,faithfulness|coherence,F+C,2,17.75,50
Gemma-7B,MATH500,faithfulness|coherence|factuality,F+C+Fa,3,20.166666666666664,50
Gemma-7B,MATH500,faithfulness|coherence|utility,F+C+U,3,16.833333333333332,50
Gemma-7B,MATH500,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,18.875,50
Gemma-7B,MATH500,faithfulness|factuality,F+Fa,2,21.0,50
Gemma-7B,MATH500,faithfulness|utility,F+U,2,16.0,50
Gemma-7B,MATH500,faithfulness|utility|factuality,F+U+Fa,3,19.0,50
Gemma-7B,MATH500,utility,U,1,15.0,50
Gemma-7B,MATH500,utility|factuality,U+Fa,2,20.0,50
Gemma-7B,SVAMP,coherence,C,1,29.0,50
Gemma-7B,SVAMP,coherence|factuality,C+Fa,2,35.25,50
Gemma-7B,SVAMP,coherence|utility,C+U,2,27.75,50
Gemma-7B,SVAMP,coherence|utility|factuality,C+U+Fa,3,32.33333333333333,50
Gemma-7B,SVAMP,factuality,Fa,1,41.5,50
Gemma-7B,SVAMP,faithfulness,F,1,27.5,50
Gemma-7B,SVAMP,faithfulness|coherence,F+C,2,28.25,50
Gemma-7B,SVAMP,faithfulness|coherence|factuality,F+C+Fa,3,32.666666666666664,50
Gemma-7B,SVAMP,faithfulness|coherence|utility,F+C+U,3,27.666666666666664,50
Gemma-7B,SVAMP,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,31.125,50
Gemma-7B,SVAMP,faithfulness|factuality,F+Fa,2,34.5,50
Gemma-7B,SVAMP,faithfulness|utility,F+U,2,27.0,50
Gemma-7B,SVAMP,faithfulness|utility|factuality,F+U+Fa,3,31.83333333333333,50
Gemma-7B,SVAMP,utility,U,1,26.5,50
