model,benchmark,k,mean_recall,std_recall,mean_jaccard,std_jaccard,mean_precision,std_precision,mean_snr_k8,std_snr_k8,snr_k16,regime_flip_rate,mean_scored_overlap,std_scored_overlap,mean_partial_frs,frs_k16
Phi-4-Reas.,CommonsenseQA,8,0.9901740020470828,0.010009795847203809,0.4927035378745117,0.007430497781760682,0.4950870010235414,0.0050048979236019045,-0.15872094985484622,0.021244949211551588,-0.1657209945236099,0.0,23.7,1.7349351572897471,33.65775533343468,33.375
Phi-4-Reas.,CommonsenseQA,4,0.9963190184049079,0.008666511288514143,0.24911106079905246,0.0026929983415968075,0.24933469805527117,0.0021688454555186263,-0.1725805152598412,0.020434665508397554,-0.1657209945236099,0.0,13.1,3.3600595232822887,33.52827901265401,33.375
Phi-4-Reas.,GPQA,8,0.9860724233983287,0.022766369628637942,0.4904930579670849,0.016638799987486946,0.4937238493723849,0.011399060943767123,0.1012551699394237,0.018945980061152702,0.09950819622906268,0.0,23.8,1.4000000000000001,63.01989808199047,62.25000000000001
Phi-4-Reas.,GPQA,4,0.9783333333333333,0.03346732329295341,0.24436404814639437,0.010299120969921203,0.24560669456066947,0.008401838483586624,0.11861962129033647,0.026468194614557305,0.09950819622906268,0.0,12.2,3.54400902933387,63.44010416666667,62.25000000000001
Phi-4-Reas.,GSM8K,8,0.9868371212121213,0.011739751039804203,0.4904738387249984,0.008700376766264676,0.4936522974893415,0.005872656133601717,0.2977558839483619,0.03989713631732325,0.3152720424519638,0.0,25.7,2.794637722496424,83.40743132984512,84.5
Phi-4-Reas.,GSM8K,4,0.9926136363636363,0.01492371365006962,0.24783031994550148,0.004612322203377365,0.24827096162955944,0.0037326957874167423,0.31285157807633246,0.07227496609464223,0.3152720424519638,0.0,12.6,3.49857113690718,85.09776248057499,84.5
Phi-4-Reas.,MATH500,8,0.9884999999999999,0.018580904176062063,0.4915500397702227,0.013611144462559968,0.49424999999999997,0.009290452088031032,0.3229157433319733,0.04640980852941438,0.31462347142848995,0.0,24.5,3.442382895611701,78.73649210148571,80.0
Phi-4-Reas.,MATH500,4,0.9715,0.029753151093623687,0.24122432858287568,0.00914896884813584,0.242875,0.007438287773405922,0.2949603580593615,0.05335296398196069,0.31462347142848995,0.0,11.4,2.2449944320643644,78.99776785714286,80.0
Phi-4-Reas.,SVAMP,8,0.9876249999999999,0.016041450214989903,0.4908699092834613,0.011802861469102777,0.49381249999999993,0.008020725107494952,0.19075167331386572,0.04799585219702035,0.17403083905045602,0.0,25.6,2.5377155080899043,74.73734206614641,74.75
Phi-4-Reas.,SVAMP,4,0.9847500000000002,0.022512496529705443,0.24529141716243347,0.006945612477869294,0.24618750000000006,0.005628124132426361,0.18955377252691585,0.06684698151253571,0.17403083905045602,0.0,13.0,2.9664793948382653,71.97061011904762,74.75
Qwen2.5-7B,AQuA,8,0.9705882352941175,0.03809678279946165,0.47992588452340523,0.02694807991547132,0.4864864864864865,0.019095193344201927,0.11955411558960852,0.028726325971709477,0.10301176385857566,0.0,26.6,2.5768197453450252,77.47026819570966,77.25
Qwen2.5-7B,AQuA,4,0.9950980392156863,0.01470588235294119,0.24909651487321396,0.00455320722311014,0.24938574938574942,0.0036855036855036913,0.1028541725142876,0.024123716436943568,0.10301176385857566,0.0,12.8,2.5612496949731396,75.17908903800448,77.25
Qwen2.5-7B,CommonsenseQA,8,0.9966223132036847,0.0075776638767163056,0.4974922569043997,0.0056183261003798345,0.49831115660184233,0.0037888319383581528,0.10446183098814146,0.010642292320483587,0.10476549614710133,0.0,26.1,2.7,70.50084834676335,70.125
Qwen2.5-7B,CommonsenseQA,4,0.9691206543967279,0.026795609569202353,0.2407232786516696,0.008258281342706082,0.24252814738996928,0.0067057589965915645,0.08882242668550584,0.01839906730689477,0.10476549614710133,0.0,13.2,2.7129319932501077,73.62332632645132,70.125
Qwen2.5-7B,GPQA,8,0.9863509749303621,0.017415597807621818,0.4906221578296776,0.012817369075029634,0.49386331938633193,0.008719943672156545,0.07858278721026016,0.01656049886571083,0.07588881352737642,0.0,24.3,2.4515301344262523,53.912917673107884,55.125
Qwen2.5-7B,GPQA,4,0.9827777777777778,0.03392529920171562,0.24574835515849447,0.010380956768224835,0.24672245467224546,0.00851681151507505,0.07603087191682237,0.051669138278119635,0.07588881352737642,0.1,12.9,2.624880949681338,55.146744595274015,55.125
Qwen2.5-7B,GSM8K,8,0.9895833333333333,0.01625922426616269,0.49255647147144577,0.011930153006698353,0.4950260540028422,0.008133463204674451,-0.7997748335695446,0.018811663055541432,-0.7993410690613474,0.0,25.3,3.5227829907617076,65.76285280002546,65.625
Qwen2.5-7B,GSM8K,4,0.9833333333333332,0.017883441869867994,0.24495340805888058,0.005531896937186154,0.2459497868308858,0.004472978354945659,-0.7997185708462057,0.026111376892495743,-0.7993410690613474,0.0,11.9,3.176476034853718,66.01338612368025,65.625
Qwen2.5-7B,MATH500,8,0.9817499999999999,0.020586706876040174,0.4865900086207263,0.015072483751933721,0.49087499999999995,0.010293353438020087,-0.3177689949451056,0.01445834422943166,-0.30780533422187983,0.0,25.2,4.467661580737736,75.8935323935324,75.625
