model,benchmark,resample_id,k,recall,precision,jaccard,snr_k16,snr_k8,regime_flip,num_scored_in_overlap,partial_frs_estimate
DS-R1-7B,CommonsenseQA,3,8,0.9928352098259979,0.49641760491299897,0.4946455889852116,0.1833365751683797,0.1806589451625989,False,24,77.34375
DS-R1-7B,CommonsenseQA,4,8,0.9928352098259979,0.49641760491299897,0.4946455889852116,0.1833365751683797,0.17611105630687482,False,26,84.13461538461539
DS-R1-7B,CommonsenseQA,5,8,1.0,0.5,0.5,0.1833365751683797,0.19759299346227646,False,30,77.08333333333333
DS-R1-7B,CommonsenseQA,6,8,1.0,0.5,0.5,0.1833365751683797,0.20069833453240388,False,21,74.70238095238095
DS-R1-7B,CommonsenseQA,7,8,1.0,0.5,0.5,0.1833365751683797,0.2064327124350432,False,30,77.29166666666667
DS-R1-7B,CommonsenseQA,8,8,0.9815762538382804,0.4907881269191402,0.48630831643002026,0.1833365751683797,0.17173231376521148,False,29,79.74137931034483
DS-R1-7B,CommonsenseQA,9,8,0.9836233367451381,0.49181166837256907,0.4878172588832487,0.1833365751683797,0.18785251862078878,False,31,78.4274193548387
DS-R1-7B,CommonsenseQA,0,4,1.0,0.2502558853633572,0.2502558853633572,0.1833365751683797,0.14260711351814392,False,9,86.80555555555556
DS-R1-7B,CommonsenseQA,1,4,0.9918200408997955,0.24820880245649948,0.24770173646578142,0.1833365751683797,0.20248376042498972,False,10,83.75
DS-R1-7B,CommonsenseQA,2,4,0.9856850715746421,0.24667349027635618,0.24579296277409485,0.1833365751683797,0.153738722877013,False,12,76.04166666666667
DS-R1-7B,CommonsenseQA,3,4,1.0,0.2502558853633572,0.2502558853633572,0.1833365751683797,0.16202088838290404,False,13,82.6923076923077
DS-R1-7B,CommonsenseQA,4,4,1.0,0.2502558853633572,0.2502558853633572,0.1833365751683797,0.1852929415333651,False,15,77.5
DS-R1-7B,CommonsenseQA,5,4,1.0,0.2502558853633572,0.2502558853633572,0.1833365751683797,0.13813802035991968,False,9,77.77777777777777
DS-R1-7B,CommonsenseQA,6,4,0.9631901840490797,0.24104401228249744,0.23884381338742394,0.1833365751683797,0.20638399096071164,False,9,82.63888888888889
